ZIP,percentile,superzip,rank,city.x,state.x,adultpop,households,college,income.,area,avg,city.y,state.y,latitude,longitude,nbh
10001,78.93413,0,3120,Manhattan,NY,12961,2711,50.16%,58.3699,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.750742,-73.99653,West Midtown 
10002,13.30883,0,18943,Manhattan,NY,59323,18859,16.83%,35.786,Chinatown & Lower East Side,70.1926,New York,NY,40.71704,-73.987,Lower East Side 
10003,97.68859,1,385,Manhattan,NY,40319,7504,70.12%,121.43,Chinatown & Lower East Side,70.1926,New York,NY,40.732509,-73.98935,Greenwich Village 
10004,99.43828,1,93,Manhattan,NY,1020,221,75.98%,170.258,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NJ,40.699226,-74.04118,Financial District 
10005,99.36517,1,107,Manhattan,NY,703,119,74.68%,167.23,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.706019,-74.00858,Financial District 
10006,98.65981,1,228,Manhattan,NY,1174,230,70.95%,138.78,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.707904,-74.01342,Financial District 
10007,99.38902,1,100,Manhattan,NY,2814,563,56.89%,199.713,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.714754,-74.00721,Financial District 
10009,71.88912,0,4213,Manhattan,NY,43663,11823,44.55%,53.3618,Chinatown & Lower East Side,70.1926,New York,NY,40.727093,-73.97864,East Greenwich Village 
10010,98.17231,1,320,Manhattan,NY,21221,4819,71.23%,126,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.739022,-73.98205,Gramercy 
10011,98.13351,1,326,Manhattan,NY,39951,6704,68.57%,130.999,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.741012,-74.00012,Chelsea Greenwich Village 
10012,94.66093,0,840,Manhattan,NY,20476,4501,64.63%,95.9752,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.72596,-73.99834,Village NoHo 
10013,69.03775,0,4647,Manhattan,NY,18344,5447,40.66%,55.1401,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.720666,-74.00526,"Tribeca, Soho "
10014,99.0041,1,167,Manhattan,NY,28445,4763,74.39%,145.505,"Battery Park City, Greenwich Village & Soho",131.63891,New York,NY,40.734718,-74.00532,West Greenwich Village 
10016,98.56199,1,243,Manhattan,NY,41544,7973,68.79%,140.174,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.74618,-73.97759,Murray Hill 
10017,99.12652,1,150,Manhattan,NY,14064,2742,73.99%,152.385,"Murray Hill, Gramercy & Stuyvesant Town",125.082138,New York,NY,40.752159,-73.97231,East Midtown 
10018,82.75207,0,2549,Manhattan,NY,3534,626,51.33%,66.3136,"Chelsea, Clinton & Midtown Business District",85.76612,New York,NY,40.755101,-73.99337,West Midtown 
